group,species
A - major dune builders,Calamagrostis_arenaria
A - major dune builders,Leymus_arenarius
A - major dune builders,Elytrigia_juncea
B - conservation importance,Achillea_maritima
B - conservation importance,Anthemis_maritima
B - conservation importance,Cakile_maritima
B - conservation importance,Cyperus_capitatus
B - conservation importance,Echinophora_spinosa
B - conservation importance,Eryngium_maritimum
B - conservation importance,Euphorbia_paralias
B - conservation importance,Helichrysum_stoechas
B - conservation importance,Honckenya_peploides
B - conservation importance,Medicago_marina
B - conservation importance,Pancratium_maritimum
B - conservation importance,Polygonum_maritimum
B - conservation importance,Salsola_kali
C - introduced,Baccharis_halimifolia
C - introduced,Carpobrotus_acinaciformis
C - introduced,Carpobrotus_edulis
C - introduced,Rosa_rugosa
C - introduced,Senecio_inaequidens
D - special case,Hippophae_rhamnoides
